last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Sanchez, Aaron,R,91.9,95.1,,94.7,,,88.5
Irvin, Cole,L,91.8,,,80.1,,29.7,
Luciano, Elvis,R,91.8,,,83.8,,9.1,
Smyly, Drew,L,91.7,,48.5,87.7,,,27.5
Richards, Trevor,R,91.7,,33,78.9,,,46.3
Skoglund, Eric,L,91.6,93.1,,72.8,,,37.5
Gibaut, Ian,R,91.6,,,76,,33.8,
Barnes, Matt,R,91.6,,,,,,67.3
Tropeano, Nick,R,91.5,,,91.7,,18.2,
Keller, Kyle,R,91.4,,,,,,50.2
Odorizzi, Jake,R,91.4,,40.9,,,,71.7
Bieber, Shane,R,91.3,,,92.1,,15.3,58.4
Snell, Blake,L,91.3,,,84.8,,28.8,50.6
Giolito, Lucas,R,91.2,,,83.7,,27.9,80.3
Brennan, Brandon,R,91.1,93.4,,89.8,,15.4,
Means, John,L,91.1,,,92.2,,31.9,34.9
Anderson, Cody,R,91.1,,,91.6,,,55.7
Brooks, Aaron,R,91.1,96.3,,79.5,,12.7,33.3
Farrell, Luke,R,91,,,,,10.9,51.9
Hill, Rich,L,91,,,,,93.9,100
Miller, Shelby,R,90.9,94.7,36.5,82.8,,,66
Pannone, Thomas,L,90.9,,,88.1,,,68.5
Fiers, Mike,R,90.8,92.5,,82.7,,42.6,93
Kittredge, Andrew,R,90.7,97.2,,58.3,,32.6,
Peacock, Brad,R,90.7,96.1,,92.3,,63.2,76.6
Peralta, Wily,R,90.6,,,85.3,,21.8,
Springs, Jeffrey,L,90.5,,,78.3,,27.4,
Hammer, JD,R,90.4,,,,,22.5,
Conley, Adam,L,90.4,,,89.7,,18.5,34
Buttrey, Ty,R,90.3,,,91.3,,25.9,
Gant, John,R,90.3,92.6,38.5,76.1,,,84.9
Stanek, Ryne,R,90.3,,,,,18.2,
Gagnon, Drew,R,90.2,,,87.1,,,64.5
Wacha, Michael,R,90.2,95,50.6,81,,,73.7
McKay, Brendan,L,90.2,,46.4,95,,,65.1
Ferguson, Caleb,L,90.1,,,,,,89.1
Gausman, Kevin,R,90,,,85.6,,19.3,
Paxton, James,L,90,,20.5,68.8,,,46.8
Plesac, Zach,R,89.9,,,78.6,,15.8,67.6
Bowman, Matt,R,89.8,,70.4,,,35.5,71.9
Hoffman, Jeff,R,89.8,,,72.4,,,87.9
Kline, Branden,R,89.8,,,77.8,,21.3,
Mengden, Daniel,R,89.8,90,28.2,86.8,,30.8,94.9
Norwood, James,R,89.7,,,,,18.9,
Bashlor, Tyler,R,89.7,,,87.3,,43.7,
Buchter, Ryan,L,89.6,,57.5,,,,78.4
Davis, Austin,L,89.3,,,88.4,,22.1,37.3
Díaz, Edwin,R,89.2,,,,,23,
Eickhoff, Jerad,R,89.2,90.5,,,,23.5,62.6
Gsellman, Robert,R,89.2,96,,95.5,,23.2,75.7
Melville, Tim,R,89.1,,,93.8,,14,46
Jackson, Jay,R,89.1,,,,,24.6,
Jackson, Luke,R,89.1,,,,,42.2,77.2
Wheeler, Zack,R,89.1,92.8,,83.6,,29.3,67.2
Wingenter, Trey,R,89.1,,,,,17.4,
Milone, Tommy,L,89,,,84.6,,24.5,28.8
Mayers, Mike,R,89,,,,,21.4,76.4
DeSclafani, Anthony,R,89,93.2,,87.6,,36,42.8
Garrett, Reed,R,89,,31.4,,,29.7,
Bauer, Trevor,R,89,94.1,31.7,93.7,,83,97.5
Kolarek, Adam,L,88.9,95,,96.9,,56.2,
Nola, Aaron,R,88.9,90.8,,86.9,,,85.1
Canning, Griffin,R,88.9,,,92.6,,27.3,52.2
Guerra, Javy,R,88.8,,,79.8,,28.1,59.7
Yacabonis, Jimmy,R,88.8,92.1,,91.2,,37.8,
Poyner, Bobby,L,88.8,,,97.6,,19.4,
Lorenzen, Michael,R,88.8,90.4,43.3,85.8,,28.8,54.7
Dunn, Justin,R,88.6,,,,,53.5,
Archer, Chris,R,88.6,90.9,,78.3,,25.6,42.6
Altavilla, Dan,R,88.6,,,,,31.7,
Hendriks, Liam,R,88.5,,,,,22,58
Thornburg, Tyler,R,88.5,,,86.2,,,80
Báez, Pedro,R,88.5,,,86.8,,24,
Dayton, Grant,L,88.4,,,,,80.7,63.4
Coonrod, Sam,R,88.4,91.2,,82.4,,40.6,
Anderson, Chase,R,88.4,92.6,55,92.2,,,79.5
Stashak, Cody,R,88.4,,,81.5,,54.6,
Ramírez, Neil,R,88.3,,,,,30.9,58.1
Rosscup, Zac,L,88.3,89.3,,,,33.3,
Gonzales, Marco,L,88.3,88.9,40.9,86,,,70.6
Guerrero, Tayron,R,88.2,90.1,,,,23.2,
Lauer, Eric,L,88.2,,39.6,86.6,,26.4,46.1
Duffy, Danny,L,88.1,90.9,,84.7,,23.8,89.1
Montas, Frankie,R,88,94.5,,,,28.2,
Ramirez, Nick,L,88,89.2,37.8,82,,,51.3
Cisnero, José,R,88,89.8,,91.5,,26.7,
