last_name, first_name,player_id,year,player_age,ff_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,
Anderson, Chase,502624,2019,32,93.3,,82.7,77.8,
Holland, Derek,502706,2019,33,,81.1,83.9,77.7,
Peacock, Brad,502748,2019,31,92.5,81.3,83.4,78.6,
Peralta, Wily,503449,2019,30,94.3,82.1,84.8,74.7,
Nicasio, Juan,504379,2019,33,93.8,86.7,84.7,,
Darvish, Yu,506433,2019,33,94.1,82.4,83.8,77.2,
Herrera, Kelvin,516969,2019,30,96.3,81.7,88.6,,
Colome, Alex,517008,2019,31,94.4,,91.2,,
Alexander, Scott,518397,2019,30,,84.2,87,,
Bettis, Chad,518452,2019,30,93,,87,77.3,
Brasier, Ryan,518489,2019,32,96.1,85.2,87.4,,
Bumgarner, Madison,518516,2019,30,91.4,,84.2,78.8,
Cishek, Steve,518553,2019,33,90.5,78.9,83.9,,
Cole, Taylor,518566,2019,30,93.2,87.4,86.9,82.2,
Diekman, Jake,518617,2019,32,95.8,85,90,,
Duffy, Danny,518633,2019,31,92.3,84,83.8,76.1,
Gearrin, Cory,518715,2019,33,91,85.2,85.3,,
Harvey, Matt,518774,2019,30,93.2,87.2,85.7,81.4,
Holland, Greg,518813,2019,34,91.6,84.3,83.8,77.5,
Kelley, Shawn,518875,2019,35,91.9,82.4,83.3,,
Kelly, Merrill,518876,2019,31,92,,86,80.6,
Kimbrel, Craig,518886,2019,31,96.2,,,85.9,
McFarland, T.J.,519008,2019,30,89.2,80.9,82,,
Nelson, Jimmy,519076,2019,30,92.3,85.5,87.2,82.8,
Otero, Dan,519096,2019,34,88.6,78.9,82.2,,
Pomeranz, Drew,519141,2019,31,92.8,,85.6,81.2,
Porcello, Rick,519144,2019,31,91,84.3,80.8,74.9,
Pressly, Ryan,519151,2019,31,95.5,90.2,,83,
Ramirez, Neil,519166,2019,30,94.4,84.6,,79.4,
Sale, Chris,519242,2019,30,93.4,79,85.2,,
Smith, Will,519293,2019,30,92.6,81.6,87,77.1,
Strickland, Hunter,519326,2019,31,95.9,83.6,89.4,,
Walden, Marcus,519393,2019,31,94.1,85.6,,,
Workman, Brandon,519443,2019,31,92.9,,,80.6,
Zimmermann, Jordan,519455,2019,33,90.5,85.8,87.1,80.2,
Baez, Pedro,520980,2019,31,95.8,86.3,86.2,,
Hendriks, Liam,521230,2019,30,96.5,88.5,,84.4,
Font, Wilmer,521655,2019,29,94.4,84.1,,76.4,
Kelly, Joe,523260,2019,31,97.5,,87.6,87.2,
Perez, Martin,527048,2019,28,94.2,,85.3,79.2,
Teheran, Julio,527054,2019,28,89.7,82.2,83.6,74.8,
Osuna, Roberto,532077,2019,24,96.7,88.2,84.4,83.1,
Shoemaker, Matt,533167,2019,33,90.3,81.7,,76.4,
Cisnero, Jose,542585,2019,30,96.4,86.6,90.6,,
Adams, Austin,542866,2019,33,96.2,86.7,89.8,,
Anderson, Tyler,542881,2019,30,91.2,,79.9,73.4,
Andriese, Matt,542882,2019,30,92.5,85,86,80.9,
Armstrong, Shawn,542888,2019,29,93.4,83,,,
Bass, Anthony,542914,2019,32,95.3,87.3,,,
Bleier, Richard,542947,2019,32,85.8,79.7,81.4,,
Boshers, Buddy,542953,2019,31,,,84.4,80.4,
Brach, Brad,542960,2019,33,94.1,85.4,86.6,,
Carpenter, Ryan,543001,2019,29,90,81.5,83.3,76.1,
Chatwood, Tyler,543022,2019,30,96.1,,87.7,81.4,
Cole, Gerrit,543037,2019,29,97.1,89.2,88.6,82.6,
Conley, Adam,543045,2019,29,95.3,86.1,86.5,82.9,
DeSclafani, Anthony,543101,2019,29,94.7,89.4,88.5,83.3,
Drake, Oliver,543118,2019,32,93.5,,,,
Eovaldi, Nathan,543135,2019,29,97.4,84.9,,80.5,
Flynn, Brian,543169,2019,29,90.7,82.5,82.6,,
Gagnon, Drew,543193,2019,29,92.1,84.4,82.1,79.1,
Gaviglio, Sam,543208,2019,29,,84.3,82.5,79.8,
Gray, Sonny,543243,2019,30,93.3,84.7,89.7,81.9,
Hand, Brad,543272,2019,29,92.7,81.2,,,
Hardy, Blaine,543278,2019,32,88.2,,79.2,76.5,
Hendricks, Kyle,543294,2019,30,87.2,,78.6,71.4,
Hudson, Daniel,543339,2019,32,96.2,86.7,88.6,,
Jackson, Jay,543351,2019,32,94.4,85.9,87.2,,
Lyles, Jordan,543475,2019,29,92.6,87.5,85.6,80.6,
Magill, Matt,543483,2019,30,95.2,88.4,89.7,85.9,
May, Trevor,543507,2019,30,95.5,83.9,87.6,78.9,
McHugh, Collin,543521,2019,32,90.8,79.5,83.8,74.5,
Melville, Tim,543532,2019,30,89.2,83.1,82.5,75.4,
Milone, Tommy,543548,2019,32,87.1,79.1,79.4,75.3,
Montgomery, Mike,543557,2019,30,91.6,,84.3,77.7,
Odorizzi, Jake,543606,2019,29,92.9,,,75.4,
Roark, Tanner,543699,2019,33,92.1,86.3,84.1,75.7,
Shaw, Bryan,543766,2019,32,,83.1,84,80.8,
Vincent, Nick,543883,2019,33,88.9,83.5,83.7,,
Weber, Ryan,543901,2019,29,88.4,86.3,81.6,77.6,
Webster, Allen,543903,2019,29,94.4,88.1,87.8,,
Wilson, Alex,543935,2019,33,91.6,85.7,88.8,,
Banuelos, Manny,544365,2019,28,92,85.3,82.6,78.8,
Familia, Jeurys,544727,2019,30,95.9,88.1,,,
Lyons, Tyler,544928,2019,31,89.8,79.6,83.8,,
Strasburg, Stephen,544931,2019,31,93.9,87.8,87.7,81.2,
Diaz, Jairo,545064,2019,28,97.2,88.2,,,
Bauer, Trevor,545333,2019,28,94.5,79.6,86,79.1,
Lorenzen, Michael,547179,2019,27,97.2,87.1,87.4,83.8,
Tanaka, Masahiro,547888,2019,31,91.5,83.3,,76.1,
Ryu, Hyun Jin,547943,2019,32,90.7,80.7,80,72.7,
Chapman, Aroldis,547973,2019,31,98,85.2,88.1,,
Stripling, Ross,548389,2019,30,90.6,86.3,82.7,79.8,
Kittredge, Andrew,552640,2019,29,95.2,88.3,85.8,,
Vazquez, Felipe,553878,2019,28,98.5,86.8,88.5,82.5,
Garcia, Yimi,554340,2019,29,94.2,86.9,87.3,83.2,
Wheeler, Zack,554430,2019,29,96.8,91.2,89,80.7,
Pena, Felix,570240,2019,29,91.2,82.5,83.9,,
Valdez, Phillips,570488,2019,28,91.7,84.7,84.8,,
Urena, Jose,570632,2019,28,94.8,85.8,90.1,84.7,
Robles, Hansel,570663,2019,29,97.2,89.1,89.5,,
Cessa, Luis,570666,2019,27,94.6,84.8,87.1,80.7,
Boyd, Matthew,571510,2019,28,92.1,79.6,79.1,72.2,
Corbin, Patrick,571578,2019,30,91.8,81.7,81.8,67.8,
Farmer, Buck,571656,2019,28,95,82.4,88.1,,
Fiers, Mike,571666,2019,34,90.4,85.8,84.1,74.1,
