last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Burdi, Zack,R,84.1,,,98.5,,23.4,
Valdez, César,R,84,85,,71.6,,39,
Diplán, Marcos,R,83.9,,,79.4,,,58.1
Hoyt, James,R,83.9,87.3,,,,15.3,
Widener, Taylor,R,83.9,,,93.4,,32.7,
Taillon, Jameson,R,83.8,86.5,,95.5,,40.8,74.8
Familia, Jeurys,R,83.8,81.7,,,,25.3,
Nance, Tommy,R,83.7,82.7,,,,45.3,70.3
Bassitt, Chris,R,83.7,88.3,49.8,95.8,,67.5,93.3
Eshelman, Thomas,R,83.7,79.7,,94.1,,43.5,70
Thompson, Mason,R,83.7,83.4,,,,31.4,
Kershaw, Clayton,L,83.6,,,99.2,,46,78.5
Rodriguez, Eduardo,L,83.5,85.1,48.1,89.8,,33.9,
Lindblom, Josh,R,83.5,89.6,50.3,98.8,,55.5,81.6
Davis, Wade,R,83.5,75.8,38.3,86.8,,,72.3
Kim, Kwang Hyun,L,83.5,87.7,,92.2,,38.1,66
Hutchison, Drew,R,83.4,,,84.2,,27.4,
Crismatt, Nabil,R,83.4,83.1,,79.2,,,99.2
Santana, Ervin,R,83.3,,,88.8,,31.4,
Gallen, Zac,R,83.2,,61,89.3,,42.7,74.2
Megill, Trevor,R,83.2,86.9,,,,31.5,59.1
Thompson, Keegan,R,83.2,,37.4,95.4,,,72.5
Perdomo, Angel,L,83.1,,,90.3,,47.4,
Hale, David,R,83,82.7,,94.2,,,38.5
Fulmer, Michael,R,82.9,84.2,,86,,47.7,79.3
Leone, Dominic,R,82.9,74.8,33.7,,,43.7,
Tyler, Kyle,R,82.8,,,,,25.7,
Norris, Daniel,L,82.7,,,76.7,,23.3,
Slegers, Aaron,R,82.6,83.6,,75.4,,21.3,
Sheffield, Justus,L,82.6,80.7,,72.6,,44.7,
Bolaños, Ronald,R,82.6,84.5,,,,41.6,62.7
Carrasco, Carlos,R,82.6,80.1,,68.5,,28.7,55.2
Sandlin, Nick,R,82.5,81.1,,,,54.1,
Fairbanks, Pete,R,82.5,,,,,43.5,
Knehr, Reiss,R,82.4,,38.2,99.2,,42.1,
Germán, Domingo,R,82.2,82.7,,85.5,,,27.1
Sewald, Paul,R,82.2,,,,,44.8,
Cleavinger, Garrett,L,82.2,,,,,56,
Otto, Glenn,R,82.1,,,98.5,,58.9,69.6
Coleman, Dylan,R,82,,,,,53.5,
McCaughan, Darren,R,81.9,81.4,,98.6,,39.6,
Senzatela, Antonio,R,81.8,83.1,,61.3,,40.8,63.1
Sherfy, Jimmie,R,81.8,,,,,56.8,
Kay, Anthony,L,81.8,,24.4,89.9,,52.6,72
Quijada, José,L,81.7,,,99.1,,63.5,
Mikolas, Miles,R,81.7,79.7,,96.2,,26.8,85.2
Taylor, Josh,L,81.6,83.3,,,,31,56.8
Yajure, Miguel,R,81.6,92,45.1,80,,48.5,88.8
Muller, Kyle,L,81.6,,,84,,20.4,71
Stewart, Kohl,R,81.5,77.7,51.9,85.9,,45.9,
Chatwood, Tyler,R,81.4,81.3,25.2,81.1,,,65.4
Romo, Sergio,R,81.2,85.7,,99.2,,48.6,
White, Mitch,R,81.2,,,91.8,,25.3,78
Helsley, Ryan,R,81,,34.5,96.1,,,62.6
Crowe, Wil,R,81,77.5,,58.3,,40.9,78.6
Wantz, Andrew,R,80.9,,38.2,77.9,,39.6,
Bielak, Brandon,R,80.9,76,45.9,91.8,,35,84.5
Adam, Jason,R,80.8,,,89.9,,48.1,75.9
Chacín, Jhoulys,R,80.8,80,,87.1,,41.9,47.4
Rogers, Tyler,R,80.7,78.6,,,,68.7,
Duffey, Tyler,R,80.7,86.6,,,,,59
Urías, Julio,L,80.7,80.9,,89.9,,,48.6
Zimmermann, Bruce,L,80.6,,,98.8,,19.8,41.6
Vincent, Nick,R,80.6,,44.5,96.3,,,
Ohtani, Shohei,R,80.5,,35.7,,,57.1,88.2
Miller, Justin,R,80.5,81,,,,49.9,
López, Pablo,R,80.2,83.5,57.2,90.5,,,68.5
Kelly, Merrill,R,80,77.1,66.9,79.1,,,67
Sánchez, Miguel,R,79.8,,,80.3,,27.8,
Guduan, Reymin,L,79.7,,,,,30.4,
Poteet, Cody,R,79.6,,,82.4,,30.6,62.9
Waddell, Brandon,L,79.6,85.7,,94.2,,23,
Flaherty, Jack,R,79.3,74.4,,75.9,,50.6,85.8
Campbell, Paul,R,79.3,,,92.4,,46.2,60.3
Biddle, Jesse,L,79.3,79,,,,53,86.9
Lynn, Lance,R,79.3,74.5,33,85.3,,,47.5
Medina, Adonis,R,79.2,81.6,,89.9,,30.7,42.6
Keuchel, Dallas,L,78.9,81.7,39.2,90.4,,26.8,
Greinke, Zack,R,78.7,84.4,,84.4,,42.2,76
Lakins Sr., Travis,R,78.5,80,52.8,89.9,,,76.7
Miller, Andrew,L,78.4,82.7,,,,65.1,
Webb, Logan,R,78,77.2,50,78.8,,54.8,
Manoah, Alek,R,77.9,78.6,,81.5,,50.2,
Castellanos, Humberto,R,77.4,78.6,,94.6,,53.3,68.7
Crick, Kyle,R,77.2,,,,,83.7,
Barlow, Scott,R,77.2,,,,,45.7,84.3
Williams, Taylor,R,77.2,70.6,,,,15.8,
Singer, Brady,R,77.2,83.9,,97.1,,26,
Junk, Janson,R,77.1,,,,,57.3,85.4
Wainwright, Adam,R,77.1,82,46.1,90.1,,,97
Raley, Brooks,L,77.1,79.4,40.2,86.3,,52.2,69
Strickland, Hunter,R,77,72.3,,84.8,,47.1,
Coulombe, Danny,L,77,72.2,,,,26,91.2
Armstrong, Shawn,R,76.7,,43.9,,,47.7,
Gray, Sonny,R,76.5,70.2,40.9,85.3,,65.4,88.5
Lester, Jon,L,76.4,73.2,55,71.2,,,66.4
Pruitt, Austin,R,76.2,,,,,25.3,58.6
Feltner, Ryan,R,76.1,,,58.5,,49,84.5
Saucedo, Tayler,L,76.1,78.8,,98.8,,16.3,66.9
Pressly, Ryan,R,75.8,,,,,28.5,72.9
Glasnow, Tyler,R,75.8,,,90.3,,32,76.1
Fried, Max,L,75.6,74.1,,85.7,,34.5,83.3
Scott, Tanner,L,75.5,80.9,,,,33.3,
Cishek, Steve,R,75.5,82.1,,,,79.4,
Freeland, Kyle,L,75.3,70,,91.2,,29.7,67.4
Junis, Jakob,R,75.2,79.8,43.6,81.2,,38,
Bard, Daniel,R,75.2,77.8,,93.6,,44.7,
Wendelken, J.B.,R,75.1,80.8,,99.4,,44.9,93.8
Hudson, Dakota,R,74.8,90.9,,,,36.6,62.3
Kluber, Corey,R,74.8,79.9,36.1,76.6,,,54.3
Thompson, Zach,R,74.8,76.3,29.4,73.6,,,71.6
Toussaint, Touki,R,74.6,72.8,,,,,85.9
Nelson, Jimmy,R,74.4,,,,,51.8,83
Selman, Sam,L,74.3,,,,,48,
Givens, Mychal,R,74.2,,,51.5,,31.6,
Harper, Ryne,R,74.2,,,,,54.3,79.4
Ramirez, Noé,R,74.1,,,71.6,,,66.8
Ottavino, Adam,R,73.9,76.1,30.4,77.3,,71.8,79.7
Anderson, Shaun,R,73.1,72.5,,,,36.6,
Taylor, Blake,L,73.1,,,,,45.8,
Rodríguez, Manuel,R,72.9,88,,,,46.4,
Bender, Anthony,R,72.8,75.3,,,,59.4,
Oviedo, Johan,R,72.6,,,93.5,,45.1,68.4
Madero, Luís,R,72.5,,,82.6,,38.2,
Ryan, Kyle,L,72.5,77.1,48.1,,,,44.4
Mejía, J.C.,R,71.9,70.6,,71.5,,44.9,85.9
Williams, Trevor,R,71.6,73.1,,89.6,,41,57.6
Castano, Daniel,L,71.3,67.7,,77.7,,25.6,
González, Chi Chi,R,71.1,69.6,31.3,85.7,,28.4,41.6
Stratton, Chris,R,71,,,74.9,,36.3,75.3
Hernandez, Darwinzon,L,70.9,,,,,35,75.4
Steele, Justin,L,70.9,71.7,,86.6,,54.9,75.8
Rosso, Ramón,R,70.2,,,,,34,
Wright, Kyle,R,70,74.5,,88.6,,31,75.3
Paredes, Enoli,R,69.9,,,,,53,
Cimber, Adam,R,69.7,73.3,,,,21.2,
García, Yimi,R,69.7,76.9,,94.3,,30.3,48.9
Keller, Brad,R,69.3,75.7,,82.6,,41.8,
Schmidt, Clarke,R,69,66.2,,59.6,,23.7,77.5
Minor, Mike,L,68.8,,,96.7,,26.6,76.9
O'Day, Darren,R,68.5,70.5,,,,27.4,
Melancon, Mark,R,68.3,,62.7,,,,78.3
Lovelady, Richard,L,67.8,66.5,,,,27.5,
Burnes, Corbin,R,67.8,71.4,52.7,77.6,,40.2,67.7
Fry, Paul,L,66.9,,,,,56.7,
Doval, Camilo,R,66.3,,,,,45.3,
Edwards Jr., Carl,R,66,,,,,,81.5
Fedde, Erick,R,65.9,75.4,45,88.8,,,64.1
Shaw, Bryan,R,65.3,,43.7,77.6,,52.3,89.7
Suter, Brent,L,65.2,83.5,,97.9,,,44.5
Valdez, Framber,L,63.9,68.6,,75.3,,,85.5
Musgrove, Joe,R,62.9,64.3,40.1,61.6,,56.8,76.5
Maton, Phil,R,62.7,,35.7,,,67.2,92.2
Houck, Tanner,R,62.4,71.3,,,,55.4,
Stroman, Marcus,R,62.1,58.7,28.9,,,52.9,71.6
Kittredge, Andrew,R,62.1,79.2,,,,31,
Adams, Austin,R,59.7,,,,,37.1,
Turnbull, Spencer,R,59.5,78.2,53.1,93.5,,34.7,80.6
Hartlieb, Geoff,R,57.6,64.9,,,,36.9,
Castro, Anthony,R,57.1,,,,,60,
Maples, Dillon,R,52.5,55.5,,,,53.3,80.2
Richards, Garrett,R,49.7,62,,86.3,,28.4,93.7
